fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-07-12,AA,AA,AA,1773,AA,N981UY,1773,11057,CLT,"Charlotte, NC",15304,TPA,"Tampa, FL",2213,2335,82,22,2357,106,3,2350,109,79,0,,0,N,97,94,69,1,507,79,0,0,0,0,,,,
2018-07-12,DL,DL,DL,708,DL,N322NB,708,12953,LGA,"New York, NY",14027,PBI,"West Palm Beach/Palm Beach, FL",1857,1858,1,25,1923,2142,3,2212,2145,-27,0,,0,N,195,167,139,1,1035,,,,,,,,,
2018-07-12,DL,DL,DL,1945,DL,N363NW,1945,10849,BZN,"Bozeman, MT",13487,MSP,"Minneapolis, MN",1110,1133,23,8,1141,1431,4,1421,1435,14,0,,0,N,131,122,110,1,874,,,,,,,,,
2018-07-12,UA,UA,UA,2293,UA,N76528,2293,13930,ORD,"Chicago, IL",13871,OMA,"Omaha, NE",1245,1237,-8,15,1252,1350,5,1418,1355,-23,0,,0,N,93,78,58,1,416,,,,,,,,,
2018-07-12,UA,UA,UA,1234,UA,N899UA,1234,12266,IAH,"Houston, TX",10423,AUS,"Austin, TX",2055,2051,-4,19,2110,2141,6,2148,2147,-1,0,,0,N,53,56,31,1,140,,,,,,,,,
2018-07-12,AA,AA_CODESHARE,AA,5232,OH,N260JS,5232,11057,CLT,"Charlotte, NC",13422,MOB,"Mobile, AL",1640,1633,-7,21,1654,1715,3,1733,1718,-15,0,,0,N,113,105,81,1,526,,,,,,,,,
2018-07-12,DL,DL_CODESHARE,DL,5879,YX,N205JQ,5879,12953,LGA,"New York, NY",12266,IAH,"Houston, TX",610,814,124,34,848,1050,12,854,1102,128,0,,0,N,24,228,182,1,1416,123,0,4,0,1,604.0,45,45,
2018-07-12,UA,UA_CODESHARE,UA,4846,ZW,N440AW,4846,12264,IAD,"Washington, DC",11996,GSP,"Greer, SC",1240,1239,-1,31,1310,1409,4,1412,1413,1,0,,0,N,92,94,59,1,384,,,,,,,,,
2018-07-12,WN,WN,WN,2163,WN,N229WN,2163,14893,SMF,"Sacramento, CA",11259,DAL,"Dallas, TX",1135,1229,54,7,1236,1939,9,1700,1948,,0,,1,N,205,,,1,1442,,,,,,,,,
2018-07-12,AA,AA,AA,1930,AA,N703UW,1930,13495,MSY,"New Orleans, LA",11057,CLT,"Charlotte, NC",914,906,-8,8,914,1145,12,1215,1157,-18,0,,0,N,121,111,91,1,651,,,,,,,,,
2018-07-12,AA,AA_CODESHARE,AA,2946,EV,N614QX,2946,15412,TYS,"Knoxville, TN",11298,DFW,"Dallas/Fort Worth, TX",1847,2134,167,14,2148,2228,13,2003,2241,158,0,,0,N,136,127,100,1,771,21,0,0,0,137,,,,
2018-07-13,AS,AS_CODESHARE,AS,2297,QX,N441QX,2297,14747,SEA,"Seattle, WA",14489,RDM,"Bend/Redmond, OR",2310,2307,-3,14,2321,5,5,10,10,0,0,,0,N,60,63,44,1,228,,,,,,,,,
2018-07-13,AA,AA,AA,834,AA,N745VJ,834,11057,CLT,"Charlotte, NC",12339,IND,"Indianapolis, IN",1120,1121,1,8,1129,1232,5,1250,1237,-13,0,,0,N,90,76,63,1,427,,,,,,,,,
2018-07-13,AA,AA_CODESHARE,AA,3620,MQ,N232NN,3620,11298,DFW,"Dallas/Fort Worth, TX",11982,GRK,"Killeen, TX",1653,1646,-7,19,1705,1733,3,1742,1736,-6,0,,0,N,49,50,28,1,134,,,,,,,,,
2018-07-13,WN,WN,WN,976,WN,N7722B,976,12889,LAS,"Las Vegas, NV",14869,SLC,"Salt Lake City, UT",1325,1331,6,22,1353,1547,2,1550,1549,-1,0,,0,N,85,78,54,1,368,,,,,,,,,
2018-07-13,AA,AA_CODESHARE,AA,4891,PT,N683AE,4891,10821,BWI,"Baltimore, MD",14100,PHL,"Philadelphia, PA",1043,1040,-3,19,1059,1121,14,1140,1135,-5,0,,0,N,57,55,22,1,90,,,,,,,,,
2018-07-13,DL,DL_CODESHARE,DL,4481,OO,N885AS,4481,13487,MSP,"Minneapolis, MN",12278,ICT,"Wichita, KS",900,900,0,57,957,1115,4,1057,1119,22,0,,0,N,117,139,78,1,545,0,0,22,0,0,,,,
2018-07-13,UA,UA_CODESHARE,UA,5240,OO,N947SW,5240,11003,CID,"Cedar Rapids/Iowa City, IA",13930,ORD,"Chicago, IL",1427,1421,-6,18,1439,1524,11,1540,1535,-5,0,,0,N,73,74,45,1,196,,,,,,,,,
2018-07-13,AA,AA_CODESHARE,AA,4069,MQ,N243NN,4069,15249,TLH,"Tallahassee, FL",11298,DFW,"Dallas/Fort Worth, TX",1644,1651,7,9,1700,1743,14,1800,1757,-3,0,,0,N,136,126,103,1,767,,,,,,,,,
2018-07-13,AA,AA,AA,2269,AA,N555AN,2269,11298,DFW,"Dallas/Fort Worth, TX",15370,TUL,"Tulsa, OK",1640,1634,-6,18,1652,1735,2,1740,1737,-3,0,,0,N,60,63,43,1,237,,,,,,,,,
2018-07-13,DL,DL_CODESHARE,DL,5045,9E,N299PQ,5045,11995,GSO,"Greensboro/High Point, NC",12953,LGA,"New York, NY",600,615,15,25,640,745,5,740,750,10,0,,0,N,100,95,65,1,461,,,,,,,,,
2018-07-13,B6,B6,B6,984,B6,N279JB,984,14492,RDU,"Raleigh/Durham, NC",10721,BOS,"Boston, MA",1526,1516,-10,15,1531,1700,5,1721,1705,-16,0,,0,N,115,109,89,1,612,,,,,,,,,
2018-07-13,AA,AA_CODESHARE,AA,5630,OH,N505AE,5630,11278,DCA,"Washington, DC",11193,CVG,"Cincinnati, OH",1015,1011,-4,19,1030,1135,8,1151,1143,-8,0,,0,N,96,92,65,1,411,,,,,,,,,
2018-07-13,UA,UA,UA,277,UA,N415UA,277,11292,DEN,"Denver, CO",11003,CID,"Cedar Rapids/Iowa City, IA",2017,2002,-15,28,2030,2257,6,2303,2303,0,0,,0,N,106,121,87,1,692,,,,,,,,,
2018-07-13,WN,WN,WN,2067,WN,N206WN,2067,11292,DEN,"Denver, CO",13487,MSP,"Minneapolis, MN",1500,1459,-1,11,1510,1740,3,1755,1743,-12,0,,0,N,115,104,90,1,680,,,,,,,,,
2018-07-13,DL,DL,DL,1718,DL,N340NW,1718,13486,MSO,"Missoula, MT",13487,MSP,"Minneapolis, MN",545,542,-3,11,553,900,3,920,903,-17,0,,0,N,155,141,127,1,1013,,,,,,,,,
2018-07-14,AS,AS,AS,64,AS,N609AS,64,12819,KTN,"Ketchikan, AK",14747,SEA,"Seattle, WA",1737,1719,-18,8,1727,1959,4,2028,2003,-25,0,,0,N,111,104,92,1,680,,,,,,,,,
2018-07-14,AA,AA_CODESHARE,AA,4092,MQ,N535EA,4092,13930,ORD,"Chicago, IL",11423,DSM,"Des Moines, IA",1008,1005,-3,36,1041,1126,6,1121,1132,11,0,,0,N,73,87,45,1,299,,,,,,,,,
2018-07-14,AA,AA_CODESHARE,AA,5168,OH,N515AE,5168,14730,SDF,"Louisville, KY",11057,CLT,"Charlotte, NC",1341,1352,11,12,1404,1501,13,1519,1514,-5,0,,0,N,98,82,57,1,335,,,,,,,,,
2018-07-14,AA,AA,AA,592,AA,N825AW,592,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",952,944,-8,14,958,1127,13,1144,1140,-4,0,,0,N,112,116,89,1,594,,,,,,,,,
2018-07-14,AA,AA,AA,2372,AA,N137AA,2372,14683,SAT,"San Antonio, TX",11298,DFW,"Dallas/Fort Worth, TX",1950,1943,-7,11,1954,2038,19,2104,2057,-7,0,,0,N,74,74,44,1,247,,,,,,,,,
2018-07-14,WN,WN,WN,3989,WN,N268WN,3989,10257,ALB,"Albany, NY",13232,MDW,"Chicago, IL",1615,1705,50,9,1714,1802,4,1725,1806,41,0,,0,N,130,121,108,1,717,5,0,0,0,36,,,,
2018-07-14,WN,WN,WN,5758,WN,N277WN,5758,10713,BOI,"Boise, ID",14893,SMF,"Sacramento, CA",1955,2045,50,7,2052,2057,2,2015,2059,44,0,,0,N,80,74,65,1,437,4,0,0,0,40,,,,
2018-07-14,WN,WN,WN,3443,WN,N7873A,3443,11278,DCA,"Washington, DC",13232,MDW,"Chicago, IL",855,856,1,12,908,934,5,955,939,-16,0,,0,N,120,103,86,1,601,,,,,,,,,
2018-07-14,WN,WN,WN,2605,WN,N7731A,2605,13495,MSY,"New Orleans, LA",10721,BOS,"Boston, MA",1325,1547,142,10,1557,1945,8,1750,1953,123,0,,0,N,205,186,168,1,1368,0,0,0,0,123,,,,
2018-07-14,AA,AA,AA,130,AA,N982AN,130,10423,AUS,"Austin, TX",11298,DFW,"Dallas/Fort Worth, TX",757,750,-7,13,803,842,23,908,905,-3,0,,0,N,71,75,39,1,190,,,,,,,,,
2018-07-14,AA,AA_CODESHARE,AA,4867,PT,N648AE,4867,14321,PWM,"Portland, ME",14100,PHL,"Philadelphia, PA",1035,1029,-6,12,1041,1149,7,1216,1156,-20,0,,0,N,101,87,68,1,364,,,,,,,,,
2018-07-14,DL,DL,DL,2556,DL,N842DN,2556,14057,PDX,"Portland, OR",10397,ATL,"Atlanta, GA",800,753,-7,13,806,1520,8,1542,1528,-14,0,,0,N,282,275,254,1,2172,,,,,,,,,
2018-07-15,WN,WN,WN,5361,WN,N262WN,5361,10800,BUR,"Burbank, CA",14107,PHX,"Phoenix, AZ",725,719,-6,11,730,829,6,855,835,-20,0,,0,N,90,76,59,1,369,,,,,,,,,
2018-07-15,AA,AA_CODESHARE,AA,5746,YV,N249LR,5746,11540,ELP,"El Paso, TX",14107,PHX,"Phoenix, AZ",1845,1931,46,12,1943,1949,8,1915,1957,42,0,,0,N,90,86,66,1,347,0,0,0,0,42,,,,
2018-07-15,AA,AA,AA,1674,AA,N982VJ,1674,11057,CLT,"Charlotte, NC",12892,LAX,"Los Angeles, CA",750,750,0,24,814,926,30,1010,956,-14,0,,0,N,320,306,252,1,2125,,,,,,,,,
2018-07-15,AA,AA,AA,1176,AA,N830NN,1176,11298,DFW,"Dallas/Fort Worth, TX",10423,AUS,"Austin, TX",655,652,-3,14,706,738,5,748,743,-5,0,,0,N,53,51,32,1,190,,,,,,,,,
2018-07-15,DL,DL,DL,1455,DL,N543US,1455,13830,OGG,"Kahului, HI",12892,LAX,"Los Angeles, CA",2255,2252,-3,8,2300,652,5,707,657,-10,0,,0,N,312,305,292,1,2486,,,,,,,,,
2018-07-15,B6,B6,B6,616,B6,N987JB,616,14771,SFO,"San Francisco, CA",12478,JFK,"New York, NY",1540,1603,23,,,,,14,,,1,A,0,N,334,,,1,2586,,,,,,1603.0,72,72,
