fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-01-02,AA,AA_CODESHARE,AA,5326,OH,N500AE,5326,11057,CLT,"Charlotte, NC",10431,AVL,"Asheville, NC",2025,2021,-4,22,2043,2108,5,2114,2113,-1,0,"",0,N,49,52,25,1,91,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5328,OH,N562NN,5328,11057,CLT,"Charlotte, NC",10431,AVL,"Asheville, NC",2255,2328,33,18,2346,10,5,2342,15,33,0,"",0,N,47,47,24,1,91,0,0,0,0,33,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5329,OH,N710PS,5329,12217,HSV,"Huntsville, AL",11057,CLT,"Charlotte, NC",600,558,-2,27,625,827,10,835,837,2,0,"",0,N,95,99,62,1,333,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5330,OH,N563NN,5330,11057,CLT,"Charlotte, NC",14730,SDF,"Louisville, KY",955,956,1,26,1022,1118,21,1132,1139,7,0,"",0,N,97,103,56,1,335,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5331,OH,N554NN,5331,11057,CLT,"Charlotte, NC",11066,CMH,"Columbus, OH",900,937,37,20,957,1056,12,1017,1108,51,0,"",0,N,77,91,59,1,347,37,0,14,0,0,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5331,OH,N554NN,5331,11066,CMH,"Columbus, OH",11057,CLT,"Charlotte, NC",1048,1156,68,8,1204,1302,26,1220,1328,68,0,"",0,N,92,92,58,1,347,18,0,0,0,50,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5332,OH,N558NN,5332,11278,DCA,"Washington, DC",14986,SRQ,"Sarasota/Bradenton, FL",1946,1952,6,15,2007,2218,5,2219,2223,4,0,"",0,N,153,151,131,1,851,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5333,OH,N551NN,5333,11057,CLT,"Charlotte, NC",12448,JAN,"Jackson/Vicksburg, MS",2240,2237,-3,21,2258,2341,7,2339,2348,9,0,"",0,N,119,131,103,1,562,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5334,OH,N560NN,5334,11057,CLT,"Charlotte, NC",14730,SDF,"Louisville, KY",2225,2231,6,18,2249,2346,8,2355,2354,-1,0,"",0,N,90,83,57,1,335,,,,,,"",,,
2018-01-02,AA,AA_CODESHARE,AA,5335,OH,N560NN,5335,11057,CLT,"Charlotte, NC",11996,GSP,"Greer, SC",1300,1331,31,14,1345,1407,5,1345,1412,27,0,"",0,N,45,41,22,1,75,0,0,0,0,27,"",,,
